,date,lat,lon,spd,blind_turn,constrained_tunnel,narrow,slow_sign,trail_hazards,trail_junction,vehicle_conflict_point,walk_bike_sign,eb,uphill,downhill,passing,participantid,age,sex,bike_type,ebike_class
0,2022-04-29 19:53:16.363000+00:00,42.449781900000005,-71.26912540000001,5.085,0,0,0,0,0,0,1,0,0,1,0,0,1,65,male,conventional,
1,2022-04-29 19:53:16.450000+00:00,42.4497844,-71.26913,5.16,0,0,0,0,0,0,1,0,0,1,0,0,1,65,male,conventional,
2,2022-04-29 19:53:16.537000+00:00,42.4497879,-71.26913395,5.119999999999999,0,0,0,0,0,0,1,0,0,1,0,0,1,65,male,conventional,
3,2022-04-29 19:53:16.653000+00:00,42.44979115,-71.26913985,5.115,0,0,0,0,0,0,1,0,0,1,0,0,1,65,male,conventional,
4,2022-04-29 19:53:16.769000+00:00,42.4497939,-71.26914575,5.145,0,0,0,0,0,0,1,0,0,1,0,0,1,65,male,conventional,
5,2022-04-29 19:53:16.885000+00:00,42.449798900000005,-71.26915125,5.18,0,0,0,0,0,0,1,0,0,1,0,0,1,65,male,conventional,
6,2022-04-29 19:53:16.972000+00:00,42.4497999,-71.2691565,5.16,0,0,0,0,0,0,1,0,0,1,0,0,1,65,male,conventional,
7,2022-04-29 19:53:17.059000+00:00,42.449801,-71.26916045,5.11,0,0,0,0,0,0,1,0,0,1,0,0,1,65,male,conventional,
8,2022-04-29 19:53:17.175000+00:00,42.44980375,-71.26916595,5.029999999999999,0,0,0,0,0,0,1,0,0,1,0,0,1,65,male,conventional,
9,2022-04-29 19:53:17.291000+00:00,42.4498057,-71.2691715,5.0,0,0,0,0,0,0,1,0,0,1,0,0,1,65,male,conventional,
10,2022-04-29 19:53:17.403000+00:00,42.4498108,-71.2691777,5.055,0,0,0,0,0,0,1,0,0,1,0,0,1,65,male,conventional,
11,2022-04-29 19:53:17.477000+00:00,42.4498132,-71.2691828,5.13,0,0,0,0,0,0,1,0,0,1,0,0,1,65,male,conventional,
12,2022-04-29 19:53:17.550000+00:00,42.449817800000005,-71.2691872,5.065,0,0,0,0,0,0,1,0,0,1,0,0,1,65,male,conventional,
13,2022-04-29 19:53:17.649000+00:00,42.4498221,-71.26919275,5.109999999999999,0,0,0,0,0,0,1,0,0,1,0,0,1,65,male,conventional,
14,2022-04-29 19:53:17.747000+00:00,42.44982605,-71.2691985,5.195,0,0,0,0,0,0,1,0,0,1,0,0,1,65,male,conventional,
15,2022-04-29 19:53:17.846000+00:00,42.4498304,-71.2692041,5.205,0,0,0,0,0,0,1,0,0,1,0,0,1,65,male,conventional,
16,2022-04-29 19:53:17.944000+00:00,42.44983445,-71.26920915,5.175000000000001,0,0,0,0,0,0,0,0,0,1,0,0,1,65,male,conventional,
17,2022-04-29 19:53:18.018000+00:00,42.4498358,-71.2692136,5.1,0,0,0,0,0,0,0,0,0,1,0,0,1,65,male,conventional,
18,2022-04-29 19:53:18.092000+00:00,42.4498408,-71.26921825,5.19,0,0,0,0,0,0,0,0,0,1,0,0,1,65,male,conventional,
19,2022-04-29 19:53:18.190000+00:00,42.4498448,-71.26922335,5.19,0,0,0,0,0,0,0,0,0,1,0,0,1,65,male,conventional,
20,2022-04-29 19:53:18.289000+00:00,42.4498487,-71.26922905,5.105,0,0,0,0,0,0,0,0,0,1,0,0,1,65,male,conventional,
21,2022-04-29 19:53:18.405000+00:00,42.44985605,-71.2692354,5.235,0,0,0,0,0,0,0,0,0,1,0,0,1,65,male,conventional,
22,2022-04-29 19:53:18.528000+00:00,42.4498674,-71.26924245000001,5.245,0,0,0,0,0,0,0,0,0,1,0,0,1,65,male,conventional,
23,2022-04-29 19:53:18.621000+00:00,42.4498683,-71.2692466,5.27,0,0,0,0,0,0,0,0,0,1,0,0,1,65,male,conventional,
24,2022-04-29 19:53:18.713000+00:00,42.4498728,-71.2692515,5.245,0,0,0,0,0,0,0,0,0,1,0,0,1,65,male,conventional,
25,2022-04-29 19:53:18.836000+00:00,42.44988015,-71.2692588,5.234999999999999,0,0,0,0,0,0,0,0,0,1,0,0,1,65,male,conventional,
26,2022-04-29 19:53:18.959000+00:00,42.4498862,-71.2692657,5.205,0,0,0,0,0,0,0,0,0,1,0,0,1,65,male,conventional,
27,2022-04-29 19:53:19.082000+00:00,42.4498936,-71.26927265,5.19,0,0,0,0,0,0,0,0,0,1,0,0,1,65,male,conventional,
28,2022-04-29 19:53:19.174000+00:00,42.4498965,-71.2692772,5.22,0,0,0,0,0,0,0,0,0,1,0,0,1,65,male,conventional,
29,2022-04-29 19:53:19.266000+00:00,42.449899650000006,-71.269282,5.24,0,0,0,0,0,0,0,0,0,1,0,0,1,65,male,conventional,
30,2022-04-29 19:53:19.307000+00:00,42.4499404,-71.2693408,5.38,0,0,0,0,0,0,0,0,0,1,0,0,1,65,male,conventional,
31,2022-04-29 19:53:19.311000+00:00,42.44993775,-71.26933650000001,5.29,0,0,0,0,0,0,0,0,0,1,0,0,1,65,male,conventional,
32,2022-04-29 19:53:19.317000+00:00,42.4499316,-71.2693294,5.32,0,0,0,0,0,0,0,0,0,1,0,0,1,65,male,conventional,
33,2022-04-29 19:53:19.323000+00:00,42.4499262,-71.26932255,5.26,0,0,0,0,0,0,0,0,0,1,0,0,1,65,male,conventional,
34,2022-04-29 19:53:19.329000+00:00,42.44992115,-71.2693165,5.335,0,0,0,0,0,0,0,0,0,1,0,0,1,65,male,conventional,
