,Program,Program Link,Station Name,MEA Contribution,Address,City,State,ZipCode,Location,Access
11,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Win Kelly Dealership,,12421 Auto Dr,Clarksville,MD,21029,"12421 Auto Dr
Clarksville, Maryland 21029
(39.21058276700046, -76.94179073399965)",Public
12,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,7953 Crain Hwy S,Glen Burnie,MD,21061,"7953 Crain Hwy S
Glen Burnie, Maryland 21061
(39.13318752400045, -76.63661102899965)",Public
13,Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Saint John's Maple Lawn,12796.3,8160 Maple Lawn Blvd,Fulton,MD,20759,"8160 Maple Lawn Blvd
Fulton, Maryland 20759
(39.14914507500049, -76.90509772599967)",Public
14,Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,144.22,,Pikesville,MD,21208,"Pikesville, Maryland 21208
(39.37661172300045, -76.72958737799968)",
15,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,University of Maryland - College Park - Severn Building,,5245 Greenbelt Rd,College Park,MD,20740,"5245 Greenbelt Rd
College Park, Maryland 20740
(38.99807783400047, -76.92303048299965)",Public
16,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,6300 Crain Hwy,La Plata,MD,21646,"6300 Crain Hwy
La Plata, Maryland 21646
(38.53867551500048, -76.98388583399964)",Public
17,Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,190.5,,Catonsville,MD,21228,"Catonsville, Maryland 21228
(39.27721103300047, -76.73836863399964)",
18,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,9616 Harford Rd,Baltimore,MD,21234,"9616 Harford Rd
Baltimore, Maryland 21234
(39.39582916000046, -76.52262700599965)",Public
19,Biodiesel Refueling Stations,http://energy.maryland.gov/Transportation/biodieselRefueling.html,Cropper Oil & Gas,,10535 Ocean Gateway,Berlin,MD,21811,"10535 Ocean Gateway
Berlin, Maryland 21811
(38.34138779100044, -75.19864880799963)",Public
20,Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,182.02,,Bowie,MD,20715,"Bowie, Maryland 20715
(38.98124229300049, -76.74261804899965)",
21,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Charles County Public Library - PD Brown Memorial Branch,,50 Village St,Waldorf,MD,20602,"50 Village St
Waldorf, Maryland 20602
(38.601754799000446, -76.90024756899965)",Public
22,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Baltimore County Revenue Authority - Chesapeake Ave Garage,,115 Towsontown Blvd W,Towson,MD,21204,"115 Towsontown Blvd W
Towson, Maryland 21204
(39.40203000500048, -76.61713863499966)",Public
23,Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,199.99,,Ellicott City,MD,21043,"Ellicott City, Maryland 21043
(39.259561620000454, -76.80313963099968)",
24,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,1260 Liberty Rd,Eldersburg,MD,21784,"1260 Liberty Rd
Eldersburg, Maryland 21784
(39.404317824000486, -76.95140340199964)",Public
25,E-85 Refueling Stations,http://energy.maryland.gov/Transportation/e85Refueling.html,Sunoco,,1469 Rockville Pike,Rockville,MD,20852,"1469 Rockville Pike
Rockville, Maryland 20852
(39.06585976300045, -77.12746469899963)",Public
26,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,12400 Auto Dr,Clarksville,MD,21029,"12400 Auto Dr
Clarksville, Maryland 21029
(39.20932610900047, -76.94069633999965)",Public
27,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,The Alaire,,1011 Higgins Pl,Rockville,MD,20852,"1011 Higgins Pl
Rockville, Maryland 20852
(39.04877236800047, -77.11997743299963)",Public
28,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,1927 Emmorton Rd,Bel Air,MD,21015,"1927 Emmorton Rd
Bel Air, Maryland 21015
(39.503913147000446, -76.32736882099965)",Public
29,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,University of Maryland,,5 N Paca St,Baltimore,MD,21201,"5 N Paca St
Baltimore, Maryland 21201
(39.28940167000047, -76.62224532599964)",Public
30,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,9110 Liberty Rd,Randallstown,MD,21133,"9110 Liberty Rd
Randallstown, Maryland 21133
(39.369545927000445, -76.80011758499967)",Public
31,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Old Farm Court Charger,,115 Old Farm Ct,Glen Burnie,MD,21060,"115 Old Farm Ct
Glen Burnie, Maryland 21060
(39.16035669500047, -76.59869926299967)",Public
32,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,University of Maryland - Penn Garage,,120 Penn St,Baltimore,MD,21201,"120 Penn St
Baltimore, Maryland 21201
(39.287170337000475, -76.62594811699967)",Public
33,Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,132.64,,Gaithersburg,MD,20877,"Gaithersburg, Maryland 20877
(39.140912555000455, -77.19054901099963)",
34,E-85 Refueling Stations,http://energy.maryland.gov/Transportation/e85Refueling.html,Chevron,,2010 Frederick Rd,Germantown,MD,20876,"2010 Frederick Rd
Germantown, Maryland 20876
(39.16877350900046, -77.23407725199968)",Public
35,Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,259.8,,Chevy Chase,MD,20815,"Chevy Chase, Maryland 20815
(38.977953123000475, -77.08250610499965)",
36,Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Baltimore Street Garage,12796.3,15 Guilford Ave,Baltimore,MD,21202,"15 Guilford Ave
Baltimore, Maryland 21202
(39.290044804000445, -76.61097566899963)",Public
37,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Veterans Affairs Maryland Health Care - Perry Point,,Circle Dr,Perry Point,MD,21902,"Circle Dr
Perry Point, Maryland 21902
(39.55410085300048, -76.07219673599963)",Public
38,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,5740 Ritchie Hwy,Brooklyn,MD,21225,"5740 Ritchie Hwy
Brooklyn, Maryland 21225
(39.216530124000485, -76.61448595799965)",Public
39,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,6323 Baltimore National Pike,Catonsville,MD,21228,"6323 Baltimore National Pike
Catonsville, Maryland 21228
(39.283864190000486, -76.75565525099967)",Public
40,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,2016 Rock Spring Rd,Forest Hill,MD,21050,"2016 Rock Spring Rd
Forest Hill, Maryland 21050
(39.57351902000045, -76.38543329299966)",Public
41,Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Nexus Energy Homes,12796.3,1000 Island Professional Park,Chester,MD,21666,"1000 Island Professional Park
Chester, Maryland 21666
(38.97720645300046, -76.29103395699963)",Public
42,Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,228.0,,Crofton,MD,21114,"Crofton, Maryland 21114
(39.01093171500048, -76.68531611699967)",
43,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,SemaConnect United States Headquarters,,4961 Telsa Dr,Bowie,MD,20715,"4961 Telsa Dr
Bowie, Maryland 20715
(38.956984590000445, -76.70776960599966)",Public
44,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,The Prime Street Grille,,4680 Crain Hwy,White Plains,MD,20695,"4680 Crain Hwy
White Plains, Maryland 20695
(38.58363688600048, -76.94974285899963)",Public
45,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,25 High St,Waldorf,MD,20602,"25 High St
Waldorf, Maryland 20602
(38.60257454800046, -76.90293531799966)",Public
46,Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Autoflex Fleet Services,12796.3,1206 Ridgely St,Baltimore,MD,21230,"1206 Ridgely St
Baltimore, Maryland 21230
(39.27752379900045, -76.62654269899963)",Public
47,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Baltimore County Revenue Authority - Baltimore Ave,,110 W Susquehanna Ave,Towson,MD,21204,"110 W Susquehanna Ave
Towson, Maryland 21204
(39.39871538300048, -76.60642807299968)",Public
48,Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Maryland Transit Authority - Mount Washington,,5701 Smith Ave,Baltimore,MD,21209,"5701 Smith Ave
Baltimore, Maryland 21209
(39.36789841400048, -76.65243000299967)",Public
49,Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,179.8,,Hagerstown,MD,21740,"Hagerstown, Maryland 21740
(39.6340837140005, -77.73109810999966)",
