,hh_id,trip_weight,home_cms_zone,survey_mode,person_id,person_num,day_num,travel_date,travel_date_dow,trip_id,trip_num,leg_num,unlinked_trip,linked_trip_num,survey_complete,depart_time,arrive_time,o_cms_zone,d_cms_zone,trip_duration,trip_distance,o_purpose,o_purpose_category,d_purpose,d_purpose_category,num_non_hh_travelers,num_hh_travelers,num_travelers,hh_member_1,hh_member_2,hh_member_3,hh_member_4,hh_member_5,hh_member_6,hh_member_7,hh_member_8,hh_member_9,hh_member_10,hh_member_11,mode_type,mode_type_detailed,sustainable_mode,mode_1,mode_2,mode_3,mode_4,driver,park_location,park_pay,park_cost,used_transit,transit_access,transit_egress,taxi_cost,taxi_cost_amount,bike_park_location,scooter_park_location,analyst_split,analyst_merge,analyst_split_loop,user_merged,user_split,added_trip,high_speed_flag,long_distance_flag,invalid_purpose_flag,o_purpose_imputed,d_purpose_imputed,o_purpose_category_imputed,d_purpose_category_imputed,d_distance_home,d_distance_work,d_distance_school,o_location_type,d_location_type,o_congestion,d_congestion
0,19000235,0.0,Northern Bronx,1,1900023501,1,1,05/30/2019,4,1900023501001,1,1,1,1,1,05/30/2019,05/30/2019,Manhattan Core,Southern Bronx,11.1,13.4,-9998,-9998,10,2,0,1,1,1900023501,0,0,0,0,995,995,995,995,995,995,6,11,1,30,995,995,995,1,995,995,,1,1,1,995,,995,995,0,0,0,0,0,0,0,0,0,-9998,10,-9998,2,4275.9,0.0,,4,2,1,0
1,19000235,0.0,Northern Bronx,1,1900023501,1,2,05/31/2019,5,1900023501002,2,1,0,2,0,05/31/2019,05/31/2019,Southern Bronx,Northern Bronx,7.0,3.6,10,2,-9998,-9998,-9998,-9998,-9998,1900023501,0,0,0,0,995,995,995,995,995,995,995,995,995,-9998,995,995,995,995,995,995,,0,-9998,-9998,995,,995,995,1,0,0,0,0,0,0,0,0,10,-9998,2,-9998,981.2,5204.9,,2,4,0,0
2,19000235,0.0,Northern Bronx,1,1900023501,1,2,05/31/2019,5,1900023501003,3,1,0,3,0,05/31/2019,05/31/2019,Northern Bronx,Southern Bronx,16.7,3.4,-9998,-9998,-9998,-9998,-9998,-9998,-9998,1900023501,0,0,0,0,995,995,995,995,995,995,995,995,995,-9998,995,995,995,995,995,995,,0,-9998,-9998,995,,995,995,1,0,0,0,0,0,0,0,0,-9998,10,-9998,2,4260.5,79.8,,4,2,0,0
3,19000235,0.0,Northern Bronx,1,1900023501,1,3,06/01/2019,6,1900023501004,4,1,0,4,1,06/01/2019,06/01/2019,Southern Bronx,Northern Bronx,9.1,3.7,-9998,-9998,1,1,0,1,1,1900023501,0,0,0,0,995,995,995,995,995,995,7,25,0,6,995,995,995,1,1,995,,0,995,995,995,,995,995,0,0,0,0,0,0,0,0,0,10,1,2,1,0.1,4275.8,,2,1,0,0
4,19000235,0.0,Northern Bronx,1,1900023501,1,3,06/01/2019,6,1900023501005,5,1,0,5,0,06/01/2019,06/01/2019,Northern Bronx,Northern Bronx,4.4,1.0,1,1,-9998,-9998,-9998,-9998,-9998,1900023501,0,0,0,0,995,995,995,995,995,995,995,995,995,-9998,995,995,995,995,995,995,,0,-9998,-9998,995,,995,995,0,0,0,0,0,0,0,0,0,1,-9998,1,-9998,1454.0,5596.0,,1,4,0,0
5,19000235,0.0,Northern Bronx,1,1900023501,1,3,06/01/2019,6,1900023501006,6,1,0,6,0,06/01/2019,06/01/2019,Northern Bronx,Northern Bronx,3.0,1.0,-9998,-9998,-9998,-9998,-9998,-9998,-9998,1900023501,0,0,0,0,995,995,995,995,995,995,995,995,995,-9998,995,995,995,995,995,995,,0,-9998,-9998,995,,995,995,0,0,0,0,0,0,0,0,0,-9998,-9998,-9998,-9998,1160.5,5190.7,,4,4,0,0
6,19000235,0.0,Northern Bronx,1,1900023501,1,3,06/01/2019,6,1900023501007,7,1,0,7,0,06/01/2019,06/01/2019,Northern Bronx,Northern Bronx,0.4,1.1,-9998,-9998,-9998,-9998,-9998,-9998,-9998,1900023501,0,0,0,0,995,995,995,995,995,995,995,995,995,-9998,995,995,995,995,995,995,,0,-9998,-9998,995,,995,995,0,0,0,0,0,0,1,0,0,-9998,-9998,-9998,-9998,1938.6,4171.8,,4,4,0,0
7,19000235,0.0,Northern Bronx,1,1900023501,1,3,06/01/2019,6,1900023501008,8,1,0,8,0,06/01/2019,06/01/2019,Northern Bronx,Northern Bronx,6.9,1.1,-9998,-9998,-9998,-9998,-9998,-9998,-9998,1900023501,0,0,0,0,995,995,995,995,995,995,995,995,995,-9998,995,995,995,995,995,995,,0,-9998,-9998,995,,995,995,0,0,0,0,0,0,0,0,0,-9998,-9998,-9998,-9998,1181.1,5232.6,,4,4,0,0
8,19000235,0.0,Northern Bronx,1,1900023501,1,3,06/01/2019,6,1900023501009,9,1,0,9,0,06/01/2019,06/01/2019,Northern Bronx,Northern Bronx,7.0,2.3,-9998,-9998,-9998,-9998,-9998,-9998,-9998,1900023501,0,0,0,0,995,995,995,995,995,995,995,995,995,-9998,995,995,995,995,995,995,,0,-9998,-9998,995,,995,995,0,0,0,0,0,0,0,0,0,-9998,-9998,-9998,-9998,3229.8,6983.2,,4,4,0,0
9,19000235,0.0,Northern Bronx,1,1900023501,1,3,06/01/2019,6,1900023501010,10,1,0,10,0,06/01/2019,06/01/2019,Northern Bronx,Northern Bronx,7.8,1.9,-9998,-9998,-9998,-9998,-9998,-9998,-9998,1900023501,0,0,0,0,995,995,995,995,995,995,995,995,995,-9998,995,995,995,995,995,995,,0,-9998,-9998,995,,995,995,0,0,0,0,0,0,0,0,0,-9998,-9998,-9998,-9998,968.6,5197.3,,4,4,0,0
